564.29,733.88
1029.15,652.64
1031.40,458.58
927.60,553.35
1128.43,551.10
952.42,623.31
1110.38,483.40
1101.36,614.28
947.91,503.71
936.63,598.48
936.63,526.27
972.73,487.91
990.78,469.86
1062.99,467.60
1085.56,478.89
1117.15,505.96
1128.43,535.30
1117.15,593.97
1128.43,573.66
1056.22,643.61
1076.53,639.10
1090.07,630.08
981.76,650.38
995.30,650.38
1006.58,652.64
965.96,634.59
923.09,584.94
1006.58,467.60
959.19,490.17
941.14,612.02
920.83,562.38
932.11,537.56
941.14,514.99
979.50,483.40
968.22,639.10
1051.71,456.32
