304.79,627.82
298.02,445.04
388.28,533.04
200.98,548.84
221.29,492.42
241.60,472.12
261.91,463.09
327.35,454.06
365.71,460.83
381.51,487.91
386.02,508.22
390.54,555.61
388.28,582.69
367.97,603.00
347.66,618.79
331.87,625.56
282.22,625.56
266.43,623.31
248.37,612.02
230.32,600.74
212.27,578.17
205.50,526.27
212.27,508.22
230.32,485.65
275.45,454.06
352.17,454.06
374.74,472.12
356.69,612.02
377.00,591.71
390.54,566.89
221.29,589.46
207.75,560.12
311.56,454.06
336.38,456.32
284.48,451.81
255.14,463.09
