413.10,634.59
392.79,415.70
532.70,508.22
302.53,530.79
329.61,451.81
487.57,578.17
327.35,587.20
483.06,436.01
358.94,623.31
449.21,612.02
512.39,551.10
309.30,485.65
354.43,431.50
426.64,420.21
503.36,456.32
471.77,598.48
516.90,478.89
453.72,422.47
338.64,603.00
383.77,630.08
435.67,623.31
304.79,557.86
304.79,501.45
318.33,467.60
338.64,442.78
372.48,417.96
413.10,417.96
442.44,424.73
467.26,426.98
494.34,451.81
525.93,533.04
503.36,562.38
525.93,492.42
510.13,460.83
401.82,630.08
377.00,627.82
