304.79,587.20
302.53,420.21
383.77,505.96
230.32,501.45
248.37,449.55
356.69,458.58
250.63,557.86
367.97,564.63
338.64,584.94
377.00,535.30
370.23,481.14
336.38,440.52
266.43,431.50
237.09,472.12
232.58,524.02
273.20,578.17
322.84,587.20
356.69,578.17
372.48,546.58
379.25,494.68
237.09,539.81
264.17,569.15
320.58,426.98
279.96,420.21
347.66,449.55
365.71,472.12
279.96,587.20
293.50,593.97
230.32,517.25
383.77,524.02
232.58,483.40
246.12,456.32
261.91,433.75
252.89,445.04
270.94,422.47
293.50,422.47
