1101.08,483.24
1081.14,488.23
1058.69,500.69
1043.73,513.16
1026.28,523.14
1011.32,543.08
1003.84,565.53
1003.84,587.97
1008.82,612.90
1016.31,627.86
1028.77,642.82
1043.73,657.79
1058.69,670.25
1078.64,682.72
1098.59,692.69
1123.53,690.20
1145.97,690.20
1163.42,685.21
1180.88,682.72
1200.82,667.76
1215.79,657.79
1228.25,642.82
1240.72,622.88
1245.71,600.44
1245.71,573.01
1243.21,553.06
1235.73,535.60
1118.54,483.24
1140.98,480.75
1158.44,480.75
1173.40,483.24
1193.34,488.23
1205.81,500.69
1223.27,513.16
1230.75,525.63
1018.80,530.62
